,AR_Mouse,AR_Human,GR_Mouse,GR_Human,PR_Mouse,PR_Human
AR_Mouse,100.0,88.14,34.24,33.81,37.03,36.96
AR_Human,88.14,100.0,35.18,33.8,37.8,36.97
GR_Mouse,34.24,35.18,100.0,90.57,40.19,39.15
GR_Human,33.81,33.8,90.57,100.0,39.92,38.2
PR_Mouse,37.03,37.8,40.19,39.92,100.0,80.76
PR_Human,36.96,36.97,39.15,38.2,80.76,100.0
